No.,브랜드,카테고리,할인 제공처,할인/혜택 유형,혜택 상세,대상·조건,한도·횟수,중복 적용,적용 기간,출처 URL,수집일,비고
80,롯데마트,쇼핑/생활,브랜드 자체 (L.PAY),결제 적립,L.PAY 결제 시 L.POINT 자동 적립. 등록 카드/계좌로 빠른 결제 + 포인트 부족 시 자동 충전,L.PAY 가입 회원,?,?,상시,https://m.lpoint.com/app/lpay/LWLC100100.do,2026-05-15,
81,롯데마트,쇼핑/생활,카드사 (롯데카드),카드 결제 시 적립,롯데카드 신용카드 롯데마트 결제 시 추가 L.POINT 적립 (적립률은 카드별 상이),롯데카드 회원,?,롯데카드 적립 + L.POINT 보너스 적립 가능,상시,https://www.lpoint.com/,2026-05-15,롯데카드 사용으로 적립된 L.POINT는 현금화 가능
82,롯데마트,쇼핑/생활,쿠폰사 (영수증 사후적립),영수증 사후적립,매장 구매 후 영수증으로 L.POINT 사후 적립 가능. 사후 적립도 등급별 적립률 그대로 적용,L.POINT 회원,?,?,상시,https://m.lpoint.com/,2026-05-15,
83,롯데마트,쇼핑/생활,통신사,(상시 제휴 미게재),롯데마트 공식 페이지/통신사 멤버십 공식 페이지에 롯데마트 매장 상시 통신사 멤버십 할인 정식 등재 없음,?,?,?,상시,https://m.lpoint.com/,2026-05-15,?
84,CU,쇼핑/생활,브랜드 자체 (포켓CU),멤버십 포인트 적립,CU 점포 사용금액에 따라 등급별 멤버십 포인트 적립. 100P 이상 적립 시 10P 단위로 현금처럼 사용 가능. 1만 P 이내 비밀번호 없이 사용 (1만 P 이상 시 비밀번호 4자리 입력),포켓CU 회원,적립 즉시 사용 가능 / 적립 포인트 유효기간 36개월,SKT 멤버십 할인과 중복 적용 불가,상시,https://www.pocketcu.co.kr/pc/membershipInfo,2026-05-15,미등록 카드는 일 3회·총 30회까지만 적립
85,CU,쇼핑/생활,브랜드 자체 (포켓CU),CU페이 추가 적립,"FRIEND 등급 회원이 포켓CU CU간편결제(CU페이 카드·계좌, CU머니, 잔돈충전)로 결제 시 0.5% 추가 적립",FRIEND 등급 회원,?,기본 적립과 합산,상시,https://www.pocketcu.co.kr/pc/membershipInfo,2026-05-15,
86,CU,쇼핑/생활,SKT (T멤버십),할인 또는 적립 (택1),할인형: VIP/GOLD 1천원당 100원 할인 / SILVER 1천원당 50원 할인 | 적립형: VIP/GOLD 1천원당 100P 적립 / SILVER 1천원당 50P 적립,"SKT T멤버십 회원, T멤버십 앱 일회용 바코드 또는 플라스틱 카드 제시","1일 1회 / 일 최대 VIP·GOLD 20,000원·P · SILVER 10,000원·P / 1천원 이상 결제 시",타 쿠폰·할인 행사·제휴 카드·타 포인트 사용·CU 멤버십 적립 중복 불가,상시,https://sktmembership.tworld.co.kr/mps/pc-bff/benefitbrand/detail.do?brandId=146,2026-05-15,행사상품(1+1·2+1)·담배·주류·종량제 봉투·안전상비의약품·유가증권 제외 / 휴게소·리조트·공항 등 특수매장 제외
87,CU,쇼핑/생활,SKT (T멤버십),포인트 사용,보유 T멤버십 포인트 100% 사용 가능 (10P 단위),SKT T멤버십 회원 (L 등급 포함 전 등급),포인트 사용 횟수 제한 없음,할인·적립과 동시 적용 불가,상시,https://sktmembership.tworld.co.kr/mps/pc-bff/benefitbrand/detail.do?brandId=146,2026-05-15,
88,CU,쇼핑/생활,KT (KT멤버십),할인 (간편식),"간편식류 전체 1,000원당 200원 할인 (김밥·주먹밥·샌드위치·샐러드·도시락·햄버거 등)",KT 멤버십 전 등급,"1일 1회 / 결제금액 5,000원까지 할인 가능",?,상시 (시간 한정),https://membership.kt.com/discount/partner/C22/72/PartnerDetail.do,2026-05-15,매일 오전 5~9시 한정 / 간편식 외 품목 제외 / 병원·리조트·휴게소 등 특수매장 제외
89,GS25,쇼핑/생활,브랜드 자체 (우리동네GS / GS Pay),포인트 적립,GS Pay 계좌 연동 결제 시 결제금액의 2% GS ALL 포인트 적립,우리동네GS 앱 회원,?,?,상시,https://play.google.com/store/apps/details?id=com.gsr.gs25,2026-05-15,GS25·GS더프레시·와인25플러스 등 GS 계열 통합
90,GS25,쇼핑/생활,SKT (T멤버십),할인 (프레시푸드),"매주 화요일 프레시 푸드(도시락·김밥·주먹밥·삼각김밥·햄버거/샌드위치) 1,000원당 200원 할인","SKT T멤버십 전 등급, T멤버십 앱 일회용 바코드 또는 플라스틱 카드 제시","1일 1회 / 일 최대 20,000원 할인 / 1,000원 이상 결제 시",?,상시 (요일 한정),https://sktmembership.tworld.co.kr/mps/pc-bff/benefitbrand/detail.do?brandId=5321,2026-05-15,매주 화요일에만 적용 / 행사상품(1+1·2+1·증정·할인) 제외
91,GS25,쇼핑/생활,KT (KT멤버십),할인 (등급별),"VVIP/VIP/GOLD 1,000원당 100원 할인 / SILVER/WHITE/일반 1,000원당 50원 할인",KT 멤버십 회원,1일 1회 / 결제금액 20만원 한도,타 쿠폰·행사 제휴할인 중복 불가 (POP카드만 중복 가능),상시,https://membership.kt.com/discount/partner/C22/56/PartnerDetail.do,2026-05-15,행사상품(1+1·2+1)·주류·담배·일부 서비스 품목 할인 제외 / 특수매장·임시매장 제외 / 원단위 절사 후 할인
92,이케아 코리아,쇼핑/생활,브랜드 자체 (IKEA Family),특별가 혜택,IKEA Family 멤버 전용 특별가 제공 (매장·온라인몰 파란색 라벨 상품). 무료 가입,IKEA Family 회원,?,?,상시,https://www.ikea.com/kr/ko/ikea-family/benefits/,2026-05-15,
93,이케아 코리아,쇼핑/생활,브랜드 자체 (IKEA Family),무상 보험 서비스,구매한 제품을 직접 배송/조립 시 파손되거나 부품 분실 시 14일 이내 무료 교환/환불,"IKEA Family 멤버, 구매 시 멤버십 카드 스캔",구매일 이후 14일 이내 / 영리 목적 구매 제외,?,상시,https://www.ikea.com/kr/ko/ikea-family/benefits/,2026-05-15,파손 제품 재고 없을 시 환불 카드로 환불 / 부품만 파손 시 부품만 교환
94,이케아 코리아,쇼핑/생활,브랜드 자체 (IKEA Family),평일 무료 음료,평일 매장 방문 시 IKEA 레스토랑/카페에서 무료 커피 1잔,IKEA Family 멤버,?,?,상시 (평일 한정),https://www.ikea.com/kr/ko/ikea-family/about/,2026-05-15,주말 제외
95,이케아 코리아,쇼핑/생활,브랜드 자체 (IKEA Family),홈 스타일링 서비스 할인,홈 스타일링 서비스 20% 할인,IKEA Family 멤버,?,?,상시,https://www.ikea.com/kr/ko/ikea-family/benefits/,2026-05-15,
96,이케아 코리아,쇼핑/생활,카드사 (신한),제휴카드 청구할인 (IKEA 푸드),IKEA 푸드 이용금액의 15% 결제일 할인 (1만원 이상 결제 시),"IKEA Family with 신한카드 보유자, IKEA Family 멤버십 회원",전월 이용실적 30만원 이상 / 신규 발급 시 등록월+1개월까지 3만원 한도,상품권·주차장 등 비쇼핑 항목·임대매장 제외,상시,https://www.shinhancard.com/pconts/html/card/apply/credit/1201005_2207.html,2026-05-15,국내 IKEA 매장 한정 (해외 IKEA 제외) / 카드 출시 2021-04-12 이후 3년 이상 부가서비스 유지 보장
97,하이마트,쇼핑/생활,브랜드 자체 (L.POINT 멤버십),일반 등급 적립,구매금액의 0.05% L.POINT 적립,하이마트 L.POINT 회원 (전년 구매금액 500만원 미만),?,?,상시,https://company.himart.co.kr/membership/benefit,2026-05-15,등급 선정일 매년 1월 1일 / L.POINT는 롯데멤버스 제휴사에서 현금처럼 사용 가능
98,하이마트,쇼핑/생활,브랜드 자체 (L.POINT 멤버십),골드 등급 적립,구매금액의 0.1% L.POINT 적립,하이마트 L.POINT 회원 (전년 구매금액 500만원 이상~1000만원 미만),?,?,상시,https://company.himart.co.kr/membership/benefit,2026-05-15,등급 선정일 매년 1월 1일
99,하이마트,쇼핑/생활,브랜드 자체 (L.POINT 멤버십),VIP 등급 적립,구매금액의 0.25% L.POINT 적립,"하이마트 L.POINT 회원 (전년 구매금액 1,000만원 이상)",?,?,상시,https://company.himart.co.kr/membership/benefit,2026-05-15,등급 선정일 매년 1월 1일
100,교보문고,쇼핑/생활,브랜드 자체 (북클럽 통합포인트),기본 적립,국내 도서 구매 시 10% 할인 + 5% 통합포인트 적립 (도서정가제 범위 내). 일반 상품(잡지·외국도서·음반·DVD·기프트) 2% 적립,교보북클럽 회원,?,?,상시,https://mmbr.kyobobook.co.kr/benefit/grade,2026-05-15,통합포인트 유효기간 1년 / 상품권·일본 직수입 원서·교과서·행사상품·디지털상품 적용 제외
101,교보문고,쇼핑/생활,브랜드 자체 (북클럽),등급별 매장 추가 적립,매장 영수증당 실결제금액 3만원 이상 시 등급별 추가 적립: 플래티넘 4% / 골드 3% / 실버 2%,교보북클럽 실버/골드/플래티넘 등급,?,기본 적립과 합산,상시,https://mmbr.kyobobook.co.kr/benefit/grade,2026-05-15,실결제금액 = 쿠폰·통합포인트·마일리지·교환권·기프트카드·교보캐시 사용금액 제외
102,교보문고,쇼핑/생활,브랜드 자체 (북클럽),등급별 온라인 추가 적립,"온라인 주문 건당 5만원 이상 결제 시 (일반 상품 2천원 이상 포함) 2,000원 추가 적립",교보북클럽 실버/골드/플래티넘 등급,주문 건당,기본 적립과 합산,상시,https://mmbr.kyobobook.co.kr/benefit/grade,2026-05-15,
103,교보문고,쇼핑/생활,브랜드 자체 (북클럽),등급별 할인 쿠폰,"실버 5만원 이상 2,000원 할인, 골드 7만원 이상 3,000원 할인, 플래티넘 추가 다수 쿠폰",교보북클럽 실버/골드/플래티넘 등급,?,?,상시,https://mmbr.kyobobook.co.kr/benefit/grade,2026-05-15,등급 유지 기간 3개월 / 등급 조정일 매월 1일
104,교보문고,쇼핑/생활,카드사 (BC카드),제휴카드 적립 (Oh! point),교보문고 이용액의 0.3% Oh! point 적립 / 5~20% Oh! point 사용 가능,교보북클럽 Oh! point 카드 보유자,?,교보북클럽 통합포인트와 동시 적립,상시,https://m.ohpointcard.com/html/customer/Guide/AssociatedCard/1196468_29772.jsp,2026-05-15,Oh! point 멤버십카드 회원당 3장까지 신청 가능
